FEI Number,Legal Name,Street Address,City,State/Province,Zip Code,Country/Area,District,Program Area,Fiscal Year,Inspection End Date,Posting Date,Classification,Observation_1,Observation_2,Observation_3
3492611,"Alkem Laboratories Ltd","906 Industrial Blvd",Boston,TX,61741,United States,New York/New Jersey,Medical Devices,2025,2025-12-20,2025-12-20,NAI,,,
2744106,"Mylan Laboratories Ltd","861 Industrial Blvd",Miami,MA,21731,Ireland,San Francisco,CFSAN,2023,2025-10-01,2025-10-01,VAI,"Change control system does not require impact assessment for changes to validated processes or analytical methods.","Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed.","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed."
4852474,"Alkem Laboratories Ltd","593 Industrial Blvd",Newark,TX,67185,Ireland,New England,Veterinary,2024,2024-04-05,2024-04-05,VAI,"Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.",
6461330,"Novartis Pharmaceuticals Corp","263 Industrial Blvd",Newark,MA,13808,India,New York/New Jersey,CBER,2025,2022-07-04,2022-07-04,VAI,"Calibration records for critical analytical instruments are incomplete. 4 instruments found with expired calibration certificates.","Change control system does not require impact assessment for changes to validated processes or analytical methods.","Backup and disaster recovery procedures for critical computer systems have not been tested within the required frequency."
7171198,"Hikma Pharmaceuticals USA","488 Industrial Blvd",Boston,IN,55950,Italy,Minneapolis/St Paul,Animal Drugs,2024,2024-11-06,2024-11-06,NAI,,,
6922568,"Abbott Laboratories","473 Industrial Blvd",Denver,MA,49679,Switzerland,Kansas City,CFSAN,2024,2025-06-27,2025-06-27,VAI,"Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established.",
9305912,"Glenmark Pharmaceuticals Ltd","855 Industrial Blvd",Atlanta,TX,76224,Italy,Denver,Animal Drugs,2024,2023-06-03,2023-06-03,VAI,"Calibration records for critical analytical instruments are incomplete. 4 instruments found with expired calibration certificates.","Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.",
9056846,"Sun Pharma Industries Ltd","278 Industrial Blvd",Boston,OH,90827,Ireland,Florida/Caribbean,OTC Drugs,2023,2024-12-07,2024-12-07,VAI,"Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).",
5809257,"Dr Reddy Laboratories Ltd","717 Industrial Blvd",Atlanta,CA,25781,United States,Florida/Caribbean,OTC Drugs,2025,2026-07-08,2026-07-08,NAI,,,
7364528,"Cadila Healthcare Ltd","263 Industrial Blvd",Miami,PA,93863,Canada,Florida/Caribbean,Medical Devices,2024,2025-05-13,2025-05-13,VAI,"Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.","Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed.",
5247192,"Alkem Laboratories Ltd","993 Industrial Blvd",Newark,WI,79425,Japan,Southeast,CDER,2023,2025-05-14,2025-05-14,NAI,,,
8115413,"Wockhardt Ltd","755 Industrial Blvd",Miami,IL,88275,India,Pacific,API,2025,2026-04-06,2026-04-06,VAI,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established.","Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d)."
5084664,"Alkem Laboratories Ltd","145 Industrial Blvd",Dallas,NC,49862,Italy,Kansas City,CDER,2024,2025-08-07,2025-08-07,VAI,"Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.","Change control system does not require impact assessment for changes to validated processes or analytical methods.",
2094753,"Mylan Laboratories Ltd","149 Industrial Blvd",San Diego,OH,96774,Switzerland,Mid-Atlantic,CDER,2023,2024-01-03,2024-01-03,NAI,,,
9645254,"Aurobindo Pharma Ltd","335 Industrial Blvd",San Diego,PA,40316,Canada,Los Angeles,API,2022,2023-11-29,2023-11-29,NAI,,,
8843913,"Wockhardt Ltd","564 Industrial Blvd",Denver,MN,94358,Ireland,Minneapolis/St Paul,API,2025,2022-12-04,2022-12-04,NAI,,,
1539284,"Novartis Pharmaceuticals Corp","852 Industrial Blvd",Atlanta,NC,28445,Ireland,San Francisco,Biologics,2022,2025-05-03,2025-05-03,OAI,"Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.","Backup and disaster recovery procedures for critical computer systems have not been tested within the required frequency.","Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls."
7367033,"Baxter Healthcare Corp","133 Industrial Blvd",Newark,MN,45240,United Kingdom,Denver,CDRH,2024,2024-09-22,2024-09-22,NAI,,,
8604701,"Cipla Ltd","915 Industrial Blvd",Newark,CA,71020,Canada,Mid-Atlantic,Medical Devices,2023,2025-07-04,2025-07-04,VAI,"Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Change control system does not require impact assessment for changes to validated processes or analytical methods.","Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established."
2263546,"Novartis Pharmaceuticals Corp","668 Industrial Blvd",Atlanta,PA,65436,Japan,Minneapolis/St Paul,OTC Drugs,2024,2023-10-15,2023-10-15,VAI,"Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).","Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent.",
8547816,"Lupin Ltd","390 Industrial Blvd",San Diego,IL,32082,Canada,Los Angeles,API,2022,2025-09-29,2025-09-29,OAI,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a)."
8902726,"Lilly USA LLC","209 Industrial Blvd",Seattle,MN,53753,India,Dallas,Drugs,2023,2024-04-30,2024-04-30,OAI,"Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Environmental monitoring program does not adequately cover all critical and controlled areas. Alert and action limits not established."
6899167,"Novartis Pharmaceuticals Corp","144 Industrial Blvd",Philadelphia,IL,25390,China,New York/New Jersey,Medical Devices,2023,2023-02-12,2023-02-12,VAI,"Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).",,
8131490,"Pfizer Manufacturing LLC","241 Industrial Blvd",Boston,NJ,84485,China,Pacific,CDRH,2025,2023-08-21,2023-08-21,VAI,"Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.",,
3717074,"Baxter Healthcare Corp","410 Industrial Blvd",Boston,IN,33753,United States,Kansas City,CFSAN,2022,2023-11-14,2023-11-14,VAI,"Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.","Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.",
8640908,"Baxter Healthcare Corp","336 Industrial Blvd",Chicago,NJ,96269,United States,Chicago,CBER,2022,2024-04-20,2024-04-20,VAI,"Change control system does not require impact assessment for changes to validated processes or analytical methods.","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).",
3268239,"Lupin Ltd","352 Industrial Blvd",Dallas,NC,12623,Japan,Los Angeles,CBER,2024,2024-06-03,2024-06-03,NAI,,,
4936933,"Lupin Ltd","866 Industrial Blvd",San Diego,WI,96042,United Kingdom,San Francisco,CDRH,2023,2022-07-31,2022-07-31,OAI,"Calibration records for critical analytical instruments are incomplete. 4 instruments found with expired calibration certificates.","Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.","Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d)."
9800829,"Lilly USA LLC","829 Industrial Blvd",Dallas,NY,40449,China,Los Angeles,CFSAN,2024,2023-05-01,2023-05-01,NAI,,,
5453633,"Lilly USA LLC","736 Industrial Blvd",Denver,MA,85740,India,Florida/Caribbean,Veterinary,2024,2025-01-07,2025-01-07,OAI,"Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).",
1083687,"Sun Pharma Industries Ltd","727 Industrial Blvd",Atlanta,MA,56344,Japan,Denver,CFSAN,2024,2022-06-17,2022-06-17,OAI,"Calibration records for critical analytical instruments are incomplete. 4 instruments found with expired calibration certificates.","Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available."
6148794,"Hikma Pharmaceuticals USA","822 Industrial Blvd",Chicago,TX,76966,United Kingdom,Kansas City,CBER,2025,2026-02-19,2026-02-19,NAI,,,
6608254,"Lupin Ltd","387 Industrial Blvd",Philadelphia,MN,21526,India,New England,Biologics,2022,2023-12-20,2023-12-20,NAI,,,
5698090,"Alkem Laboratories Ltd","246 Industrial Blvd",Chicago,NJ,45889,China,Denver,CFSAN,2024,2025-12-17,2025-12-17,OAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.",
6816093,"Hikma Pharmaceuticals USA","530 Industrial Blvd",Newark,NC,11677,Germany,Chicago,CBER,2022,2023-08-05,2023-08-05,NAI,,,
5104500,"Alkem Laboratories Ltd","414 Industrial Blvd",Miami,NY,60526,Switzerland,Denver,CFSAN,2025,2025-03-13,2025-03-13,NAI,,,
9737696,"Dr Reddy Laboratories Ltd","109 Industrial Blvd",Miami,NC,90954,United Kingdom,Los Angeles,CDER,2025,2024-07-21,2024-07-21,NAI,,,
2334255,"Teva API India Ltd","470 Industrial Blvd",Boston,OH,80863,United Kingdom,San Francisco,API,2024,2025-12-21,2025-12-21,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.",,
3764590,"Wockhardt Ltd","283 Industrial Blvd",Seattle,NJ,29553,Ireland,Chicago,OTC Drugs,2025,2025-06-20,2025-06-20,VAI,"Stability testing program does not include testing at appropriate intervals as required by 21 CFR 211.166(a).","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.",
3533243,"Cadila Healthcare Ltd","795 Industrial Blvd",Denver,OH,83128,Switzerland,Minneapolis/St Paul,Biologics,2023,2024-05-31,2024-05-31,OAI,"Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use."
1074446,"Lupin Ltd","445 Industrial Blvd",Chicago,MN,30586,Italy,New England,OTC Drugs,2022,2024-03-09,2024-03-09,VAI,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.",
9122356,"Abbott Laboratories","524 Industrial Blvd",Dallas,MN,35131,China,Kansas City,CDRH,2025,2026-07-26,2026-07-26,NAI,,,
8269644,"Wockhardt Ltd","570 Industrial Blvd",Newark,WI,11277,Switzerland,Florida/Caribbean,CDRH,2024,2025-04-01,2025-04-01,OAI,"CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a)."
5642585,"Hikma Pharmaceuticals USA","244 Industrial Blvd",Dallas,NC,47333,India,Mid-Atlantic,Animal Drugs,2025,2026-08-25,2026-08-25,VAI,"Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).","Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11)."
1189502,"Dr Reddy Laboratories Ltd","481 Industrial Blvd",San Diego,MA,13849,Canada,Southeast,Veterinary,2025,2025-09-25,2025-09-25,OAI,"Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.","Change control system does not require impact assessment for changes to validated processes or analytical methods.",
6247241,"Mylan Laboratories Ltd","877 Industrial Blvd",San Diego,WI,31123,Germany,Southeast,Medical Devices,2024,2024-05-28,2024-05-28,VAI,"Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).","Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.","Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed."
4527990,"Aurobindo Pharma Ltd","968 Industrial Blvd",Denver,TX,69321,Ireland,Pacific,CBER,2023,2024-04-12,2024-04-12,NAI,,,
9442251,"Abbott Laboratories","901 Industrial Blvd",Atlanta,MA,71996,Germany,Kansas City,Drugs,2025,2023-01-26,2023-01-26,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.",
9499314,"Novartis Pharmaceuticals Corp","520 Industrial Blvd",Boston,PA,90518,Switzerland,Los Angeles,OTC Drugs,2022,2025-06-18,2025-06-18,VAI,"Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).",
1066231,"Aurobindo Pharma Ltd","161 Industrial Blvd",Chicago,NY,36032,Ireland,Denver,OTC Drugs,2025,2026-03-05,2026-03-05,OAI,"Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).","Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b)."
4346531,"Novartis Pharmaceuticals Corp","194 Industrial Blvd",Seattle,GA,83346,Germany,Los Angeles,CDER,2025,2022-01-11,2022-01-11,NAI,,,
6111030,"Cadila Healthcare Ltd","609 Industrial Blvd",San Diego,NC,64423,United States,Pacific,CBER,2023,2023-04-03,2023-04-03,OAI,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications, standards, sampling plans, and test procedures under 21 CFR 211.160(b).","Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.","Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a)."
8238818,"Hikma Pharmaceuticals USA","395 Industrial Blvd",San Diego,TX,68947,United States,Florida/Caribbean,Drugs,2023,2022-11-15,2022-11-15,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Change control system does not require impact assessment for changes to validated processes or analytical methods.","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a)."
6360684,"Dr Reddy Laboratories Ltd","243 Industrial Blvd",San Diego,NY,59570,United States,Los Angeles,CBER,2024,2026-11-24,2026-11-24,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.",,
7855133,"Aurobindo Pharma Ltd","216 Industrial Blvd",Dallas,TX,97962,Canada,Kansas City,OTC Drugs,2023,2025-09-09,2025-09-09,VAI,"Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Change control system does not require impact assessment for changes to validated processes or analytical methods.",
9510690,"Aurobindo Pharma Ltd","374 Industrial Blvd",Newark,WI,88558,China,Kansas City,CDRH,2023,2024-02-27,2024-02-27,NAI,,,
4016674,"Wockhardt Ltd","661 Industrial Blvd",Boston,NY,27962,Switzerland,Pacific,Medical Devices,2024,2022-02-27,2022-02-27,NAI,,,
8047224,"Pfizer Manufacturing LLC","635 Industrial Blvd",Seattle,MA,35430,Switzerland,Florida/Caribbean,Veterinary,2025,2022-11-16,2022-11-16,NAI,,,
8649060,"Sun Pharma Industries Ltd","502 Industrial Blvd",San Diego,PA,78570,Ireland,Kansas City,CFSAN,2024,2022-01-13,2022-01-13,OAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).",
6000074,"Lupin Ltd","622 Industrial Blvd",Dallas,MA,30195,India,Pacific,Medical Devices,2024,2023-05-08,2023-05-08,VAI,"Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records."
1924899,"Aurobindo Pharma Ltd","717 Industrial Blvd",Newark,CA,66604,India,Kansas City,OTC Drugs,2025,2026-08-06,2026-08-06,NAI,,,
5435922,"Mylan Laboratories Ltd","593 Industrial Blvd",Miami,IL,15243,United Kingdom,Denver,CFSAN,2023,2022-10-23,2022-10-23,NAI,,,
8873448,"Merck Sharp & Dohme Corp","415 Industrial Blvd",Denver,PA,40755,India,Minneapolis/St Paul,Medical Devices,2025,2024-12-27,2024-12-27,VAI,"Calibration records for critical analytical instruments are incomplete. 4 instruments found with expired calibration certificates.","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.","Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed."
6848516,"Glenmark Pharmaceuticals Ltd","820 Industrial Blvd",Miami,NY,46674,United States,Los Angeles,Drugs,2024,2023-10-04,2023-10-04,NAI,,,
7909900,"Sun Pharma Industries Ltd","257 Industrial Blvd",San Diego,PA,12017,Japan,Denver,API,2024,2026-05-29,2026-05-29,VAI,"Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.",,
8042191,"Fresenius Kabi USA LLC","305 Industrial Blvd",San Diego,PA,41227,Ireland,Dallas,Medical Devices,2025,2026-12-12,2026-12-12,VAI,"Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d).",,
8642040,"Johnson & Johnson Inc","357 Industrial Blvd",Boston,MN,33909,China,Chicago,Biologics,2025,2023-11-06,2023-11-06,OAI,"Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.","Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.",
7360539,"Cadila Healthcare Ltd","227 Industrial Blvd",Chicago,MN,68357,Switzerland,Dallas,Biologics,2022,2026-08-08,2026-08-08,OAI,"Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed."
3386180,"Cadila Healthcare Ltd","795 Industrial Blvd",Boston,NY,78697,Italy,Florida/Caribbean,CBER,2024,2024-03-02,2024-03-02,NAI,,,
7390452,"Abbott Laboratories","428 Industrial Blvd",Denver,PA,66418,India,Denver,CDRH,2022,2025-02-17,2025-02-17,OAI,"Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed."
5353258,"Teva API India Ltd","885 Industrial Blvd",Miami,MN,42180,United Kingdom,Chicago,API,2022,2022-08-02,2022-08-02,NAI,,,
7803849,"Cadila Healthcare Ltd","990 Industrial Blvd",Chicago,TX,36276,United States,Denver,Medical Devices,2025,2024-07-26,2024-07-26,VAI,"Electronic records subject to 21 CFR Part 11 were not validated. User access permissions allow modification without traceable documentation.","Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).",
6884071,"Hikma Pharmaceuticals USA","370 Industrial Blvd",Atlanta,OH,12491,India,Florida/Caribbean,CDER,2024,2024-06-26,2024-06-26,OAI,"Stability testing program does not include testing at appropriate intervals as required by 21 CFR 211.166(a).","Out-of-specification (OOS) investigation procedures are inadequate. Root cause analysis incomplete for 3 of 7 OOS investigations reviewed.","Written procedures describing the quality control unit responsibilities and procedures are not followed as required by 21 CFR 211.22(d)."
3441047,"Lupin Ltd","126 Industrial Blvd",Newark,PA,59565,United States,Southeast,Medical Devices,2025,2026-08-31,2026-08-31,NAI,,,
2726937,"Baxter Healthcare Corp","551 Industrial Blvd",Seattle,NC,64181,Canada,Florida/Caribbean,CBER,2025,2024-10-13,2024-10-13,OAI,"Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","Equipment qualification (IQ/OQ/PQ) is not performed for new manufacturing equipment prior to use.",
3934422,"Pfizer Manufacturing LLC","484 Industrial Blvd",Miami,MN,99603,Ireland,San Francisco,Medical Devices,2023,2026-01-27,2026-01-27,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.",,
3917956,"Pfizer Manufacturing LLC","491 Industrial Blvd",Dallas,IN,79638,Ireland,Kansas City,Animal Drugs,2024,2024-07-10,2024-07-10,VAI,"Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).",,
9502991,"Johnson & Johnson Inc","890 Industrial Blvd",Boston,WI,85457,Japan,Southeast,CDRH,2023,2024-02-19,2024-02-19,NAI,,,
9392195,"Pfizer Manufacturing LLC","510 Industrial Blvd",Dallas,PA,80782,United Kingdom,Southeast,CDRH,2025,2023-10-19,2023-10-19,NAI,,,
6376876,"Fresenius Kabi USA LLC","758 Industrial Blvd",Chicago,PA,75400,United States,Chicago,Medical Devices,2025,2026-10-07,2026-10-07,NAI,,,
8797470,"Wockhardt Ltd","532 Industrial Blvd",Denver,TX,29981,Japan,Minneapolis/St Paul,CFSAN,2025,2025-06-06,2025-06-06,NAI,,,
8364416,"Alkem Laboratories Ltd","813 Industrial Blvd",Seattle,NJ,99120,Ireland,Denver,API,2024,2022-04-29,2022-04-29,NAI,,,
5977645,"Wockhardt Ltd","949 Industrial Blvd",Dallas,WI,25293,Germany,New York/New Jersey,CBER,2025,2026-03-10,2026-03-10,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.",,
4142434,"Glenmark Pharmaceuticals Ltd","218 Industrial Blvd",Miami,CA,66269,Germany,New York/New Jersey,CBER,2025,2023-10-20,2023-10-20,NAI,,,
1728696,"Fresenius Kabi USA LLC","497 Industrial Blvd",Dallas,MA,33280,Japan,Denver,CFSAN,2025,2023-05-26,2023-05-26,NAI,,,
4477387,"Lupin Ltd","830 Industrial Blvd",Atlanta,NJ,88879,Canada,Los Angeles,CBER,2024,2025-03-28,2025-03-28,VAI,"Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).","CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.","Facility design and construction does not prevent contamination of drug product per 21 CFR 211.42(b). HVAC differential pressure monitoring records absent."
